Iteration	Replicate_ID	Posterior	Likelihood	Prior	branch_lengths[1]	branch_lengths[2]	branch_lengths[3]	branch_lengths[4]	branch_lengths[5]	branch_lengths[6]	branch_lengths[7]	branch_lengths[8]	branch_lengths[9]	branch_lengths[10]	branch_lengths[11]	branch_lengths[12]	branch_lengths[13]	branch_lengths[14]	branch_lengths[15]	branch_lengths[16]	branch_lengths[17]	branch_lengths[18]	branch_lengths[19]	branch_lengths[20]	branch_lengths[21]	gamma	phi[1]	phi[2]	phi[3]	phi[4]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]
45	1	-5319.065	-5242.944	-76.12115	2.23903	0.36091	0.142959	1.20665	0.374489	0.223368	0.0432769	0.115583	0.739396	0.483105	0.491164	0.752036	0.00897876	0.216909	0.301845	0.129954	3.2694	0.155004	6.89324e-05	0.09579	0.690004	1.183854	1	1.18385	1.18385	1	0.213154	0.263215	0.164735	0.358896	0.0231191	0.0211519	0.0111629	0.0211634	0.0173978	0.0204414
46	0	-5973.971	-5936.598	-37.37295	1.02388	1.82187	0.00200461	0.370857	0.127459	0.017502	0.008728	0.0835642	0.246442	0.107882	0.334475	0.383611	0.0143258	0.450203	0.0035859	0.0844023	1.07546	0.047122	0.0494107	1.64658	0.0246279	1.329678	1	1.32968	1.32968	1	0.373006	0.13514	0.16852	0.323334	0.0581163	0.0544243	0.0400388	0.0728046	0.0573189	0.0582564
47	1	-5314.958	-5231.566	-83.39199	2.23037	0.360597	0.0798854	1.75393	0.220312	0.096712	0.0293232	0.224644	0.741593	0.450963	0.641829	0.458937	0.0134032	0.241577	0.41129	0.0941587	3.05609	0.38339	6.39048e-05	0.119443	1.14515	1.173589	1	1.17359	1.17359	1	0.305862	0.237822	0.132045	0.324271	0.0242498	0.0231361	0.0112906	0.0218323	0.0224254	0.025869
48	0	-5969.427	-5932.512	-36.91425	1.28704	1.78029	0.00205655	0.456547	0.132681	0.0259919	0.00376128	0.102142	0.241934	0.193008	0.161903	0.383611	0.0140975	0.306816	0.00325721	0.105164	1.19244	0.0614758	0.0554302	1.34007	0.0138804	1.329678	1	1.32968	1.32968	1	0.3719	0.137705	0.16802	0.322375	0.0621798	0.0556542	0.034458	0.0775165	0.0630101	0.0626672
49	1	-5312.607	-5231.863	-80.74369	2.2649	0.403911	0.0544365	1.5871	0.24715	0.282649	0.0613771	0.228667	0.701839	0.49834	0.665552	0.418988	0.0101568	0.106236	0.265619	0.0467509	3.22786	0.310671	4.13887e-05	0.155467	0.950629	1.155327	1	1.15533	1.15533	1	0.325502	0.253093	0.148647	0.272758	0.0198309	0.0252789	0.0120692	0.0173634	0.0225971	0.0339717
50	0	-5966.119	-5931.473	-34.64546	1.06426	1.59769	0.00307581	0.435385	0.102846	0.0214467	0.00293205	0.0972618	0.301215	0.154306	0.225545	0.259913	0.0375736	0.43335	0.000838889	0.0936112	1.19244	0.0154217	0.155343	1.45172	0.0223688	1.329678	1	1.32968	1.32968	1	0.3719	0.137705	0.16802	0.322375	0.057816	0.0510085	0.0385221	0.0716683	0.0500133	0.0546291
51	1	-5320.896	-5221.122	-99.77432	2.123	0.452673	0.13695	1.57238	0.327706	0.459046	0.0642553	0.187099	0.990926	0.645615	0.976888	0.929704	0.00628442	0.0792473	0.438296	0.0650538	3.29513	0.260234	3.50816e-05	0.191699	1.21638	1.159852	1	1.15985	1.15985	1	0.329275	0.235705	0.159101	0.275919	0.0164029	0.0240187	0.00960421	0.0145961	0.0157875	0.0230551
52	0	-5973.062	-5934.406	-38.65618	1.25863	2.00201	0.00172299	0.504911	0.0929037	0.0303662	0.0072146	0.0870455	0.338666	0.176824	0.170781	0.232578	0.0269746	0.335103	0.000383457	0.108195	1.1184	0.0342117	0.09153	1.41547	0.00717872	1.320474	1	1.32047	1.32047	1	0.374292	0.13718	0.16738	0.321147	0.0665919	0.0555814	0.0431018	0.0698361	0.0615312	0.0564621
53	1	-5319.741	-5229.495	-90.24583	2.40432	0.412796	0.232294	1.59237	0.315276	0.114529	0.0714484	0.363798	0.57225	0.566311	0.818649	0.737157	0.00364539	0.277748	0.226874	0.0553521	3.43014	0.343406	6.74333e-05	0.107543	0.816808	1.159852	1	1.15985	1.15985	1	0.317495	0.172548	0.165669	0.344288	0.0153659	0.0217765	0.0108523	0.019814	0.0153174	0.0233209
54	0	-5969.48	-5932.248	-37.23231	1.08714	1.6975	0.00303406	0.582473	0.112434	0.0382934	0.00488062	0.0907907	0.284604	0.207862	0.266919	0.256387	0.0624475	0.301777	0.000364926	0.193087	1.1466	0.0562866	0.0928748	1.44277	0.00277319	1.320474	1	1.32047	1.32047	1	0.359514	0.134551	0.1744	0.331534	0.0725453	0.0448311	0.0373106	0.0644527	0.054112	0.0472603
55	1	-5313.647	-5222.954	-90.69234	2.07333	0.388412	0.238545	1.76748	0.40522	0.0790936	0.0252649	0.224462	0.892786	0.795787	0.916683	0.432724	0.0128331	0.242106	0.368715	0.220486	2.91977	0.370577	0.000113441	0.124543	1.00986	1.181217	1	1.18122	1.18122	1	0.29712	0.161475	0.219211	0.322194	0.0227826	0.0171684	0.00888557	0.0116801	0.0219614	0.0204744
56	0	-5969.066	-5931.475	-37.59111	1.08714	1.65777	0.00689191	0.349913	0.078504	0.0454236	0.00477153	0.103942	0.375986	0.125521	0.141589	0.296464	0.0325859	0.40585	0.000761774	0.143	1.23109	0.0470857	0.183073	1.62922	0.00572526	1.320474	1	1.32047	1.32047	1	0.35601	0.140242	0.175445	0.328303	0.0631519	0.0505412	0.0374536	0.0730488	0.0541354	0.0570491
57	1	-5317.439	-5236.99	-80.44954	2.13408	0.391858	0.208885	1.3829	0.449785	0.0437815	0.0218536	0.169367	0.614334	0.779816	0.843625	0.472701	0.00631272	0.0482312	0.330106	0.121128	2.91977	0.203938	0.000462233	0.0539607	1.29038	1.181217	1	1.18122	1.18122	1	0.328355	0.178451	0.201036	0.292158	0.0201608	0.0168477	0.0116179	0.0107764	0.0181558	0.0226219
58	0	-5975.162	-5933.817	-41.34548	1.15683	1.93872	0.0212986	0.537563	0.187965	0.0244129	0.00907332	0.0687672	0.337463	0.270362	0.168779	0.356397	0.0604629	0.256936	0.00125549	0.0985132	1.13955	0.0404136	0.160426	1.46069	0.0315488	1.320474	1	1.32047	1.32047	1	0.354654	0.139708	0.174777	0.330862	0.0696793	0.0513312	0.0311054	0.071608	0.0553042	0.0566728
59	1	-5306.94	-5220.716	-86.22392	2.34791	0.391858	0.19873	1.64809	0.284507	0.201148	0.0253097	0.275851	0.772665	0.674858	0.751105	0.448691	0.0243288	0.107895	0.397402	0.197165	2.93338	0.267317	0.00139883	0.115765	0.994902	1.179301	1	1.1793	1.1793	1	0.312523	0.182657	0.205775	0.299045	0.0218836	0.0175972	0.00844159	0.018868	0.019454	0.0185563
